paragraph,question,answer
"Indonesia began to impose taxes system with a self-assessment system or trust to calculate taxes payable, pay off tax deficiencies, calculate taxes that have been paid, and report themselves to the Director General of Taxes.",What is the taxation system in Indonesia?,Self assessment system or self-report to the tax office
"Indonesia began to impose taxes system with a self-assessment system or trust to calculate taxes payable, pay off tax deficiencies, calculate taxes that have been paid, and report themselves to the Director General of Taxes.",how to report taxes?,report directly to the tax office or through the mpajak application
"According to Law No. 28 of 2007 concerning General Provisions and Tax Procedures (KUP), tax is a mandatory contribution to the state owed by individuals or entities that are compelling based on law, with no direct reward and used for state purposes for the greatest prosperity of the people.",what is tax?,Tax is a mandatory contribution to the state owed by individuals or entities that are compelling based on the law.
"According to Law No. 28 Year 2007 on General Provisions and Tax Procedures (KUP)defines tax is a mandatory contribution to the state owed by individuals or entities that are compelling based on law, with no direct reward and used for state purposes for the greatest prosperity of the people.",which law defines tax?,Law No. 28 of 2007 concerning General Provisions and Tax Procedures (KUP)
"Referring to Law No. 7 of 1983 Income Tax s.t.d.t.d Law No. 36 of 2008, the definition of income tax is a tax imposed on individuals or individuals and entities with respect to income received or earned during one tax year.",what is income tax?,tax imposed on individuals or individuals and entities with respect to income in one tax year.
"Referring to Law No. 7 Year 1983 Income Tax s.t.d.t.d Law No. 36 Year 2008, the definition of income tax is a tax imposed on individuals or individuals and entities with respect to income received or obtained during one tax year.",how long is the income tax interval?,one tax year
"Sri Mulyani invites all students to study hard and spread the spirit of learning to their surroundings, and obey paying taxes. But you need to remember again, that with the rules regarding NPWP ownership, it does not mean that students will be required or obliged to fulfill tax obligations. Actually, the main purpose of this regulation is more on how to build WP awareness in terms of taxation as early as possible.",are students required to pay taxes?,Sri mulyani invites students to obey taxes in order to build awareness in terms of taxation as early as possible. this is not an obligation but an invitation
"As a source of state revenue, taxes function to finance state expenditures. Taxes are used to carry out routine state tasks and carry out development. Examples of this tax function are providing health facilities, education, infrastructure and other public services.",what is the function of tax?,"As a source of state revenue to provide health facilities, education, infrastructure and other public services."
"With NPWP, you will get convenience in managing tax administration. For example, such as applying for a tax payment reduction and requesting restitution. NPWP owners will get a lower tax deduction than people who do not have an NPWP. For people who do not have an NPWP, the income tax deduction given by their employer is 20 percent higher than those who have an NPWP. Many agencies and companies include NPWP as the main requirement or supporting document for administration. For example, in terms of applying for bank loans, making a Trade Business License (SIUP), making checking accounts, making passports, purchasing investment products, as well as applying for jobs.",what are the benefits of having an NPWP?,"By having an NPWP, the owner of the NPWP can get a cheaper tax rate, simplify administrative matters that require an NPWP, such as applying for a credit card, applying for a mortgage or registering for work."
"SPT is a letter used by taxpayers to report all forms of tax calculations and payments, both for tax and non-tax objects. In addition, the Annual Tax Return or SPT can be used to report assets and liabilities in accordance with the provisions of tax laws and regulations. SPT has 2 types, namely personal SPT and corporate SPT.",what is SPT?,Annual Tax Return is a letter used by taxpayers to report all forms of tax calculations and payments.
"SPT is a letter used by taxpayers to report all forms of tax calculations and payments, both for tax and non-tax objects. In addition, the Annual Tax Return or SPT can be used to report assets and liabilities in accordance with the provisions of tax laws and regulations. SPT has 2 types, namely personal SPT and corporate SPT.",how many types of SPT are there?,"Annual SPT has 2 types, namely personal Annual SPT and Corporate Annual SPT."
"Dwi said that individual taxpayers who do not fulfill the obligation to report SPT until the reporting deadline will be subject to sanctions. DGT will impose sanctions in the form of a fine of IDR 100,000 as stipulated in Article 7 of the KUP Law. Meanwhile, corporate taxpayers will be sanctioned with a fine of IDR 1,000,000 if they do not report the SPT. ""This provision applies to each SPT that is late reported,"" Dwi told Kompas.com, Thursday (7/3/2024). Specifically for individual taxpayers who have not reported their SPT for years, Dwi said, they are also subject to a fine of IDR 100,000 per one late report. ""If it's for years, just multiply it. For example, five years means Rp 500,000,"" Dwi explained.",what sanctions if you don't report taxes?,"Based on Article 7 of the KUP Law, for taxpayers who do not report the annual SPT, they will be given a warning letter and a fine. A fine of IDR 100,000 per year for personal taxpayers and a fine of IDR 1,000,000 per year for corporate taxpayers."
"Dwi said that individual taxpayers who do not fulfill the obligation to report SPT until the reporting deadline will be subject to sanctions. DGT will impose sanctions in the form of a fine of IDR 100,000 as stipulated in Article 7 of the KUP Law. Meanwhile, corporate taxpayers will be sanctioned with a fine of IDR 1,000,000 if they do not report the SPT. ""This provision applies to each SPT that is late reported,"" Dwi told Kompas.com, Thursday (7/3/2024). Specifically for individual taxpayers who have not reported their SPT for years, Dwi said, they are also subject to a fine of IDR 100,000 per one late report. ""If it's for years, just multiply it. For example, five years means Rp 500,000,"" Dwi explained.",Which law states the sanction of not paying taxes?,Based on Article 7 of the KUP Law
"Dwi said that individual taxpayers who do not fulfill the obligation to report SPT until the reporting deadline will be subject to sanctions. DGT will impose sanctions in the form of a fine of IDR 100,000 as stipulated in Article 7 of the KUP Law. Meanwhile, corporate taxpayers will be sanctioned with a fine of IDR 1,000,000 if they do not report the SPT. ""This provision applies to each SPT that is late reported,"" Dwi told Kompas.com, Thursday (7/3/2024). Specifically for individual taxpayers who have not reported their SPT for years, Dwi said, they are also subject to a fine of IDR 100,000 per one late report. ""If it's for years, just multiply it. For example, five years means Rp 500,000,"" Dwi explained.",does the SPT fine sanction apply multiples?,"Yes, especially for individual taxpayers who do not report SPT for years, they are also subject to a fine of IDR 100,000 per one time late SPT report. If it's for years, just multiply it. For example, five years means IDR 500,000,"
"Taxes paid are usually corrupted by officials who procure goods and services, one of which is by inflating the budget or price of the goods purchased. The tax money corrupted by corruptors is used to procure goods and services, marked up and so on. The source is from tax money that is corrupted",is it true that taxes like to be corrupted?,The tax paid is usually corrupted by officials who procure goods or services by inflating the budget or price of the product.
